crsp_portno,cik,accession,tsr_filingdate_first,tsr_reportdate_first,tsr_score,phrase_hits,anchor_hits,ncsr_html,filing_dir,evidence_snippet
1024935,1040612,0001753926-25-000062,2025-01-08,2024-10-31,8757,ML_PROBA=0.875717,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001040612/2024-10-31/000175392625000062/g202667_ncsr.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001040612/2024-10-31/000175392625000062,"ITEM 1. REPORTS TO SHAREHOLDERS. ANNUAL SHAREHOLDER REPORT OCTOBER 31, 2024 CONSERVATIVE ALLOCATION FUND CLASS A MADISON CONSERVATIVE ALLOCATION FUND MCNAX FUND OVERVIEW THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTAN"
1024944,1047112,0001104659-24-125526,2024-12-04,2024-09-30,9050,ML_PROBA=0.905027,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001047112/2024-09-30/000110465924125526/tm2425937d1_ncsr.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001047112/2024-09-30/000110465924125526,"NSTITUTIONAL CLASS - MIIOX MARSICO GLOBAL FUND INVESTOR CLASS - MGLBX MARSICO GLOBAL FUND INSTITUTIONAL CLASS - MIGOX MARSICO FOCUS FUND INVESTOR CLASS / MFOCX ANNUAL SHAREHOLDER REPORT | SEPTEMBER 30, 2024 THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT THE MARSICO FOCUS FUND (“FUND”) FOR THE PERIOD OF OCTOBER 1, 2023 TO S"
1024945,1047112,0001104659-24-125526,2024-12-04,2024-09-30,9050,ML_PROBA=0.905027,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001047112/2024-09-30/000110465924125526/tm2425937d1_ncsr.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001047112/2024-09-30/000110465924125526,"NSTITUTIONAL CLASS - MIIOX MARSICO GLOBAL FUND INVESTOR CLASS - MGLBX MARSICO GLOBAL FUND INSTITUTIONAL CLASS - MIGOX MARSICO FOCUS FUND INVESTOR CLASS / MFOCX ANNUAL SHAREHOLDER REPORT | SEPTEMBER 30, 2024 THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT THE MARSICO FOCUS FUND (“FUND”) FOR THE PERIOD OF OCTOBER 1, 2023 TO S"
1024946,892071,0001193125-25-000202,2025-01-02,2024-10-31,9682,ML_PROBA=0.968169,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000892071/2024-10-31/000119312525000202/d911056dncsr.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000892071/2024-10-31/000119312525000202,"T TRANSMITTED TO SHAREHOLDERS PURSUANT TO RULE 30E-1 UNDER THE INVESTMENT COMPANY ACT OF 1940, AS AMENDED (THE “1940 ACT”): TCW CENTRAL CASH FUND TICKER: TGCXX ANNUAL SHAREHOLDER REPORT - OCTOBER 31, 2024 THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT THE TCW CENTRAL CASH FUND FOR THE PERIOD ENDED OCTOBER 31, 2024. YOU CAN"
1024950,1039001,0001104659-25-022071,2025-03-10,2024-12-31,9632,ML_PROBA=0.963220,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001039001/2024-12-31/000110465925022071/tm252795d2_ncsr.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001039001/2024-12-31/000110465925022071,"OTHERSECTORSECTORMEMBER 2024-12-31 ISO4217:USD XBRLI:SHARES ISO4217:USD XBRLI:SHARES XBRLI:PURE UTR:D VOYA:HOLDING CLASS ADV : IOSAX VOYA GLOBAL BOND PORTFOLIO ANNUAL SHAREHOLDER REPORT DECEMBER 31, 2024 THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT VOYA GLOBAL BOND PORTFOLIO FOR THE PERIOD OF JANUARY 1, 2024 TO DECEMBER"
1024953,1027263,0001193125-25-049222,2025-03-07,2024-12-31,9479,ML_PROBA=0.947874,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001027263/2024-12-31/000119312525049222/d880728dncsr.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001027263/2024-12-31/000119312525049222,"ITEM 1. REPORTS TO STOCKHOLDERS. ITEM 1(A): EQ/ALL ASSET GROWTH ALLOCATION PORTFOLIO ( CLASS IB ) ANNUAL SHAREHOLDER REPORT - DECEMBER 31, 2024 EQ ADVISORS TRUST THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT THE EQ/ALL ASSET GROWTH ALLOCATION PORTFOLIO (THE “PO"
1024955,1027596,0001133228-24-008834,2024-09-06,2024-06-30,9792,ML_PROBA=0.979231,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001027596/2024-06-30/000113322824008834/da-efp8839_ncsr.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001027596/2024-06-30/000113322824008834,"ITEM 1. REPORTS TO STOCKHOLDERS. (A) DAVIDSON MULTI-CAP EQUITY FUND CLASS A | DFMAX ANNUAL SHAREHOLDER REPORT | JUNE 30, 2024 THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT THE DAVIDSON MULTI-CAP EQUITY FUND FOR THE PERIOD OF JULY 1, 2023, TO JUNE"
1024956,1027596,0001133228-24-008834,2024-09-06,2024-06-30,9792,ML_PROBA=0.979231,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001027596/2024-06-30/000113322824008834/da-efp8839_ncsr.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001027596/2024-06-30/000113322824008834,"ITEM 1. REPORTS TO STOCKHOLDERS. (A) DAVIDSON MULTI-CAP EQUITY FUND CLASS A | DFMAX ANNUAL SHAREHOLDER REPORT | JUNE 30, 2024 THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT THE DAVIDSON MULTI-CAP EQUITY FUND FOR THE PERIOD OF JULY 1, 2023, TO JUNE"
1024957,814679,0001193125-25-046847,2025-03-05,2024-12-31,8216,ML_PROBA=0.821597,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000814679/2024-12-31/000119312525046847/d924370dncsr.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000814679/2024-12-31/000119312525046847,"(A) REPORT TRANSMITTED TO STOCKHOLDERS PURSUANT TO RULE 30E-1 UNDER THE ACT (17 CFR 270.30E-1). ADVANCED SERIES TRUST AST CLEARBRIDGE DIVIDEND GROWTH PORTFOLIO ANNUAL SHAREHOLDER REPORT - DECEMBER 31, 2024 THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT THE AST CLEARBRIDGE DIVIDEND GROWTH PORTFOLIO (THE “PORTFOLIO”) FOR THE"
1024958,814679,0001193125-25-046847,2025-03-05,2024-12-31,8216,ML_PROBA=0.821597,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000814679/2024-12-31/000119312525046847/d924370dncsr.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000814679/2024-12-31/000119312525046847,"(A) REPORT TRANSMITTED TO STOCKHOLDERS PURSUANT TO RULE 30E-1 UNDER THE ACT (17 CFR 270.30E-1). ADVANCED SERIES TRUST AST CLEARBRIDGE DIVIDEND GROWTH PORTFOLIO ANNUAL SHAREHOLDER REPORT - DECEMBER 31, 2024 THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT THE AST CLEARBRIDGE DIVIDEND GROWTH PORTFOLIO (THE “PORTFOLIO”) FOR THE"
1024959,814679,0001193125-25-046847,2025-03-05,2024-12-31,8216,ML_PROBA=0.821597,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000814679/2024-12-31/000119312525046847/d924370dncsr.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000814679/2024-12-31/000119312525046847,"(A) REPORT TRANSMITTED TO STOCKHOLDERS PURSUANT TO RULE 30E-1 UNDER THE ACT (17 CFR 270.30E-1). ADVANCED SERIES TRUST AST CLEARBRIDGE DIVIDEND GROWTH PORTFOLIO ANNUAL SHAREHOLDER REPORT - DECEMBER 31, 2024 THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT THE AST CLEARBRIDGE DIVIDEND GROWTH PORTFOLIO (THE “PORTFOLIO”) FOR THE"
1024960,814679,0001193125-25-046847,2025-03-05,2024-12-31,8216,ML_PROBA=0.821597,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000814679/2024-12-31/000119312525046847/d924370dncsr.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000814679/2024-12-31/000119312525046847,"(A) REPORT TRANSMITTED TO STOCKHOLDERS PURSUANT TO RULE 30E-1 UNDER THE ACT (17 CFR 270.30E-1). ADVANCED SERIES TRUST AST CLEARBRIDGE DIVIDEND GROWTH PORTFOLIO ANNUAL SHAREHOLDER REPORT - DECEMBER 31, 2024 THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT THE AST CLEARBRIDGE DIVIDEND GROWTH PORTFOLIO (THE “PORTFOLIO”) FOR THE"
1024963,918942,0001133228-25-002005,2025-03-04,2024-12-31,9812,ML_PROBA=0.981232,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000918942/2024-12-31/000113322825002005/lkcmf-efp14676_ncsr.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000918942/2024-12-31/000113322825002005,"ITEM 1. REPORTS TO STOCKHOLDERS. THE REGISTRANT’S ANNUAL SHAREHOLDER REPORTS FOR THE FISCAL YEAR ENDED DECEMBER 31, 2024, WHICH WERE TRANSMITTED TO SHAREHOLDERS PURSUANT TO RULE 30E-1 UNDER THE INVESTMENT COMPANY ACT OF 1940, AS AMENDE"
1024965,824036,0000824036-25-000004,2025-02-14,2024-12-31,9734,ML_PROBA=0.973404,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000824036/2024-12-31/000082403625000004/primary-document.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000824036/2024-12-31/000082403625000004,"MEMBER RSL:OTHERMINUSSECTORCTIMEMBER 2024-12-31 ISO4217:USD XBRLI:SHARES ISO4217:USD XBRLI:SHARES XBRLI:PURE UTR:D RSL:HOLDING U.S. STRATEGIC EQUITY FUND RIFAX ANNUAL SHAREHOLDER REPORT DECEMBER 31, 2024 THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT U.S. STRATEGIC EQUITY FUND FOR THE PERIOD OF JANUARY 1, 2024 TO DECEMBER"
1024966,824036,0000824036-25-000004,2025-02-14,2024-12-31,9734,ML_PROBA=0.973404,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000824036/2024-12-31/000082403625000004/primary-document.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000824036/2024-12-31/000082403625000004,"MEMBER RSL:OTHERMINUSSECTORCTIMEMBER 2024-12-31 ISO4217:USD XBRLI:SHARES ISO4217:USD XBRLI:SHARES XBRLI:PURE UTR:D RSL:HOLDING U.S. STRATEGIC EQUITY FUND RIFAX ANNUAL SHAREHOLDER REPORT DECEMBER 31, 2024 THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT U.S. STRATEGIC EQUITY FUND FOR THE PERIOD OF JANUARY 1, 2024 TO DECEMBER"
1024970,1518042,0001580642-24-004267,2024-08-07,2024-05-31,9237,ML_PROBA=0.923690,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001518042/2024-05-31/000158064224004267/essential40-form_ncsr.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001518042/2024-05-31/000158064224004267,"ITEM 1. REPORTS TO STOCKHOLDERS. ESSENTIAL 40 STOCK FUND CLASS I ( ESSIX ) ANNUAL SHAREHOLDER REPORT - MAY 31, 2024 FUND OVERVIEW THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT ESSENTIAL 40 STOCK FUND FOR THE PERIOD OF JUNE 1, 2023 TO MAY"
1024972,88048,0000088053-24-000638,2024-08-08,2024-05-31,9626,ML_PROBA=0.962638,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000088048/2024-05-31/000008805324000638/hwf.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000088048/2024-05-31/000008805324000638,"0016787MEMBER 2023-06-01 2023-06-01 ISO4217:USD XBRLI:SHARES ISO4217:USD XBRLI:SHARES XBRLI:PURE UTR:D DWS:HOLDING DWS HEALTH AND WELLNESS FUND CLASS C : SUHCX ANNUAL SHAREHOLDER REPORT -MAY 31, 2024 THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT DWS HEALTH AND WELLNESS FUND (""THE FUND"") FOR THE PERIOD JUNE 1, 2023 TO MAY"
1024973,76721,0002010337-25-000011,2025-03-06,2024-12-31,9883,ML_PROBA=0.988252,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000076721/2024-12-31/000201033725000011/primary-document.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000076721/2024-12-31/000201033725000011,":C000043251MEMBER IMP:CASHCASHEQUIVALENTSCTIMEMBER 2024-12-31 ISO4217:USD XBRLI:SHARES ISO4217:USD XBRLI:SHARES XBRLI:PURE UTR:D IMP:HOLDING FUND OVERVIEW THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT THE IMPAX LARGE CAP FUND (THE ""FUND"") FOR THE PERIOD OF JANUARY 1, 2024 TO DECEMBER 31, 2024. FOR MORE COMPLETE INFORMATIO"
1024974,882443,0001193125-24-273336,2024-12-09,2024-09-30,9730,ML_PROBA=0.973020,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000882443/2024-09-30/000119312524273336/d908995dncsr.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000882443/2024-09-30/000119312524273336,"ITEM 1. REPORTS TO SHAREHOLDERS (A) AMG BOSTON COMMON GLOBAL IMPACT FUND CLASS I / BRWIX ANNUAL SHAREHOLDER REPORT | SEPTEMBER 30, 2024 THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT AMG BOSTON COMMON GLOBAL IMPACT FUND (THE “FUND”) FOR THE PERIOD OF OC"
1024978,1081400,0001193125-24-229958,2024-10-01,2024-07-31,9630,ML_PROBA=0.963046,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001081400/2024-07-31/000119312524229958/d890863dncsr.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001081400/2024-07-31/000119312524229958,"ITEM 1. REPORT TO STOCKHOLDERS ANNUAL SHAREHOLDER REPORT DISCIPLINED U.S. CORE FUND JULY 31, 2024 INSTITUTIONAL CLASS EVSIX THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT DISCIPLINED U.S. CORE FU"
1024983,1004655,0001104659-25-000666,2025-01-03,2024-10-31,9707,ML_PROBA=0.970652,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001004655/2024-10-31/000110465925000666/tm2426409d8_ncsr.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001004655/2024-10-31/000110465925000666,"SO4217:USD ISO4217:USD XBRLI:SHARES XBRLI:PURE XBRLI:SHARES UTR:D WHITEHALL:HOLDING VANGUARD ADVICE SELECT INTERNATIONAL GROWTH FUND ADMIRAL ™ SHARES ( VAIGX ) ANNUAL SHAREHOLDER REPORT | OCTOBER 31, 2024 THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT VANGUARD ADVICE SELECT INTERNATIONAL GROWTH FUND (THE ""FUND"") FOR THE PE"
1024987,1097519,0001145549-25-023871,2025-04-03,2025-01-31,9781,ML_PROBA=0.978096,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001097519/2025-01-31/000114554925023871/8dd6d4797447332.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001097519/2025-01-31/000114554925023871,"ITEM 1. REPORTS TO STOCKHOLDERS COLUMBIA CAPITAL ALLOCATION MODERATE CONSERVATIVE PORTFOLIO CLASS A / NLGAX ANNUAL SHAREHOLDER REPORT | JANUARY 31, 2025 THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT COLUMBIA CAPITAL ALLOCATION MODERATE CONSERVATIVE PORTFOLIO (THE FUND) F"
1024989,1322252,0001398344-24-017637,2024-09-06,2024-06-30,9682,ML_PROBA=0.968247,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001322252/2024-06-30/000139834424017637/fp0089292-2_ncsrixbrl.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001322252/2024-06-30/000139834424017637,"ONSINCCTIMEMBER 2024-06-30 ISO4217:USD XBRLI:SHARES ISO4217:USD XBRLI:SHARES XBRLI:PURE UTR:D CMFT:HOLDING CRM ALL CAP VALUE FUND INSTITUTIONAL CLASS ( CRIEX ) ANNUAL SHAREHOLDER REPORT - JUNE 30, 2024 FUND OVERVIEW THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT CRM ALL CAP VALUE FUND FOR THE PERIOD OF JULY 1, 2023 TO JUNE"
